,Title,Price,Original_Price,Discount,Link,Rating,Brand,Category,Price_Tier
67,[LIMITED] BIOHEAL BOH Probioderm 3D Lifting Special Set,48.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GS250430485,4.6,[LIMITED],Serum,Premium
68,SUNGBOON EDITOR Green Tomato Pore Lifting Ampoule+ 30ml Refill (+10ml),18.52,31.0,40.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925722,4.9,SUNGBOON,Toner,Budget
69,PURCELL 24/7 Colostrum Pore Defence Ampoule with Pixcell Biom 55mL,35.84,37.0,3.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240222269,4.7,PURCELL,Toner,Mid
70,medicube Zero Pore One Day Serum 30ml Double Pack,34.34,61.0,44.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240825059,4.5,medicube,Toner,Mid
71,Haruharu wonder Black Rice Probiotics Barrier Essence 120ml,19.6,28.0,30.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925978,4.9,Haruharu,Essence,Budget
72,Beauty of Joseon Dynasty Cream 100mL,34.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240322503,4.9,Beauty,Cream,Mid
73,CNP Derma+ Answer Active Boost 1:1 Ampule 30ml Set (+15ml),31.72,46.0,31.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240724783,4.8,CNP,Ampoule,Mid
74,Beauty of Joseon Radiance Cleansing Balm 100mL,19.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220715371,4.8,Beauty,Cleanser,Budget
75,BIOHEAL BOH Probioderm 3D Lifting Ampoule 30mL Special Set (+3D Lifting Cream 20mL),33.04,41.0,19.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121786,4.9,BIOHEAL,Serum,Mid
76,Dr.G Royal Black Snail Special Set (First Essence 165mL+Cream 50mL+Eye Cream 10mL+Cream Mask Sheet 1ea),66.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220414647,4.7,Dr.G,Essence,Luxury
77,ONE THING Houttuynia Cordata Extract 300ml,16.2,24.0,32.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430371,,ONE,Toner,Budget
78,Purito Seoul Mighty Bamboo Panthenol Cream 100mL,18.4,23.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240724704,4.8,Purito,Cream,Budget
79,mixsoon Bean Essence 50mL (+Centella Asiatica Essence 20mL),31.5,35.0,10.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220615136,4.7,mixsoon,Essence,Mid
80,ZEROID Intensive Lotion 160ml Set (+Cream 25ml),31.45,37.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241026417,5.0,ZEROID,Cream,Mid
81,BIOHEAL BOH Probioderm 3D Lifting Cream 50ml Refill Set (+Cream Mask Sheet 2ea),44.27,82.0,46.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430134,,BIOHEAL,Serum,Premium
82,Purito Seoul Wonder Releaf Centella Serum Unscented 60ml,18.4,23.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240624128,4.7,Purito,Serum,Budget
83,ROUND LAB 1025 Dokdo Cleanser 150mL Double Pack,31.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230217718,4.8,ROUND,Cleanser,Mid
84,Dr.G Black Snail Retinol Ampoule 50ml Special Set (+Cream 15ml+Tone Up Sun Cream 2ml),24.48,34.0,28.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240422999,4.7,Dr.G,Sunscreen,Mid
85,REJURAN Derma Healer Pore Tightening Ampoule 30ml Set (+Ampoule 2ml*5ea+Toner Pad 2P*2ea),31.94,55.0,42.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430144,4.7,REJURAN,Toner,Mid
86,MEDIHEAL Vitamin C Brightening Serum 40mL double set,30.4,49.0,38.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA241026560,4.8,MEDIHEAL,Serum,Mid
87,LANEIGE Cream Skin 170mL (+50mL),31.2,39.0,20.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925584,4.8,LANEIGE,Cream,Mid
88,Beauty of Joseon Revive Eye Serum Ginseng + Retinol 30mL,17.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220816048,4.7,Beauty,Serum,Budget
